연료,종별,용도별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
휘발유,소계,계,"1,649,518","714,221","584,780","818,874","312,081","341,412","297,231","94,929","3,056,798","365,724","403,958","525,588","398,182","466,016","654,776","886,361","302,434","11,872,883"
경유,소계,계,"1,077,183","550,411","449,206","627,029","266,237","247,724","217,553","66,126","2,450,214","371,277","380,402","516,001","430,676","547,999","664,042","736,135","253,205","9,851,420"
엘피지,소계,계,"240,940","111,371","106,654","113,654","88,883","67,456","36,101","12,985","404,449","58,335","70,304","89,210","93,615","111,494","127,818","139,592","58,412","1,931,273"
전기,소계,계,"45,133","16,059","18,076","15,191","6,233","9,550","3,948","2,180","50,111","9,117","10,421","12,142","8,931","10,658","13,018","14,957","26,931","272,656"
하이브리드(휘발유+전기),소계,계,"147,022","61,167","48,320","90,275","24,091","24,167","19,593","11,034","256,643","24,001","25,842","32,669","25,448","38,154","36,999","56,219","30,057","951,701"
하이브리드(경유+전기),소계,계,"2,656","4,187","2,146","7,672",464,393,194,141,"3,964",286,580,461,694,486,405,"1,774",341,"26,844"
하이브리드(LPG+전기),소계,계,"1,601",735,806,696,628,481,457,153,"3,453",611,639,728,785,833,974,"1,034",335,"14,949"
기타연료,소계,계,"7,172","16,097","4,545","13,915","4,036","3,830","5,205","1,208","29,809","4,376","6,918","9,574","5,182","9,666","10,974","9,161",886,"142,554"
수소,소계,계,"2,435","1,473",352,"1,139","1,018","1,045","2,395",205,"4,004","1,959","1,095",908,"1,435",448,77,"1,899",5,"21,892"
총합,소계,용도,"3,173,660","1,475,721","1,214,885","1,688,445","703,671","696,058","582,677","188,961","6,259,445","835,686","900,159","1,187,281","964,948","1,185,754","1,509,083","1,847,132","672,606","25,086,172"
