모델명,타입,충전기가격,전격용량,충전기
JC-6511PS-B-PO-BC,벽부착형 또는 스탠드형(폴 포함),1800000,7 kW,완속
JEV-AW-107,벽부착형,2000000,7 kWh,완속
JEV-AS-107,스탠드형,2000000,7 kWh,완속
CS 100X 2BC01W,벽부착형,1452080,7 kWh,완속
CS 500A 2BC04W,벽부착형,1889248,7 kWh,완속
CS 200A 2BC03C,스탠드형,2018074,7 kWh,완속
CS 200A 3BC01C,스탠드형,3435449,14 kWh,완속
UK-NC7W-TCE,벽부착형 또는 스탠드형(폴 포함),1800000,7 kW,완속
PECOH-HSC,벽부착형 또는 스탠드형(폴 포함),770000,7 kW,완속
SPVseries,스탠드형,27500000,100kW,급속
SSEVC21F-BCCI100KW,스탠드형,58000000,100kW,급속
SSEVC21F-BCCI200KW,스탠드형,40000000,200kW,급속
FC100-DCM-PS,스탠드형,26000000,100kW,급속
EVD100J-DBB,스탠드형,48000000,100kW,급속
FC50K-CC,스탠드형,18000000,50kW,급속
CF-100M,스탠드형,21500000,50kW,급속
SVI-OF50T,스탠드형,16900000,50kW,급속
CF-200M(1CH),스탠드형,30000000,100kW,급속
CF-200M(2CH),스탠드형,33500000,100kW,급속
